stock_pair,accuracy,precision,recall,f1,%class 1
"""HDFCBANK_M&M""",1.0,,,,0.0
"""HDFCBANK_ULTRACEMCO""",1.0,,,,0.0
"""HDFCBANK_GRASIM""",0.9514435695538058,0.896551724137931,0.5454545454545454,0.6782608695652174,0.09383202099737532
"""HDFCBANK_PIDILITIND""",0.9973753280839895,1.0,0.3333333333333333,0.5,0.003937007874015748
"""HDFCBANK_LT""",1.0,,,,0.0
"""HDFCBANK_HINDUNILVR""",0.9796587926509186,1.0,0.7876712328767124,0.8812260536398467,0.09580052493438321
"""HDFCBANK_ITC""",1.0,,,,0.0
"""HDFCBANK_RELIANCE""",0.9448818897637795,1.0,0.23636363636363636,0.3823529411764706,0.07217847769028872
"""HDFCBANK_ONGC""",1.0,,,,0.0
"""HDFCBANK_UPL""",1.0,,,,0.0
"""HDFCBANK_ICICIBANK""",0.9960629921259843,1.0,0.0,0.0,0.003937007874015748
"""HDFCBANK_SIEMENS""",0.9980314960629921,1.0,0.7272727272727273,0.8421052631578948,0.007217847769028871
"""HDFCBANK_ABB""",1.0,,,,0.0
"""HDFCBANK_TCS""",1.0,,,,0.0
"""HDFCBANK_INFY""",1.0,,,,0.0
"""HDFCBANK_TATASTEEL""",0.9691601049868767,1.0,0.14545454545454545,0.25396825396825395,0.03608923884514436
"""HDFCBANK_SUNPHARMA""",1.0,,,,0.0
"""HDFCBANK_CONCOR""",1.0,,,,0.0
"""HDFCBANK_BHARTIARTL""",1.0,,,,0.0
"""M&M_ULTRACEMCO""",1.0,,,,0.0
"""M&M_GRASIM""",0.9993438320209974,1.0,0.0,0.0,0.0006561679790026247
"""M&M_PIDILITIND""",1.0,,,,0.0
"""M&M_LT""",1.0,,,,0.0
"""M&M_HINDUNILVR""",1.0,,,,0.0
"""M&M_ITC""",0.9954068241469817,0.375,0.6,0.4615384615384615,0.0032808398950131233
"""M&M_RELIANCE""",1.0,,,,0.0
"""M&M_ONGC""",1.0,,,,0.0
"""M&M_UPL""",0.9875328083989501,0.8666666666666667,0.43333333333333335,0.5777777777777778,0.01968503937007874
"""M&M_ICICIBANK""",1.0,,,,0.0
"""M&M_SIEMENS""",0.9980314960629921,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.003937007874015748
"""M&M_ABB""",0.994750656167979,0.9090909090909091,0.5882352941176471,0.7142857142857143,0.01115485564304462
"""M&M_TCS""",0.9980314960629921,,,,0.0
"""M&M_INFY""",0.9606299212598425,1.0,0.22077922077922077,0.3617021276595745,0.0505249343832021
"""M&M_TATASTEEL""",0.9954068241469817,0.92,0.8214285714285714,0.8679245283018867,0.01837270341207349
"""M&M_SUNPHARMA""",0.9967191601049868,0.7368421052631579,1.0,0.8484848484848484,0.009186351706036745
"""M&M_CONCOR""",0.9658792650918635,0.9666666666666667,0.3625,0.5272727272727272,0.05249343832020997
"""M&M_BHARTIARTL""",0.9671916010498688,1.0,0.05660377358490566,0.10714285714285715,0.03477690288713911
"""ULTRACEMCO_GRASIM""",1.0,,,,0.0
"""ULTRACEMCO_PIDILITIND""",1.0,,,,0.0
"""ULTRACEMCO_LT""",0.9776902887139107,1.0,0.2916666666666667,0.45161290322580644,0.031496062992125984
