,Files,Block,Window,Model,R2,MAPE,MAE,RMSE
0,predicted_series_rnn_block1_w50.csv,1,50,rnn,0.19,0.76,0.71,0.53
1,predicted_series_rnn_block1_w20.csv,1,20,rnn,0.16,0.75,0.62,0.49
2,predicted_series_rnn_block10_w50.csv,10,50,rnn,0.04,0.63,0.68,0.57
3,predicted_series_rnn_block10_w20.csv,10,20,rnn,0.03,0.65,0.67,0.55
4,predicted_series_rnn_block20_w50.csv,20,50,rnn,0.03,0.66,0.72,0.63
5,predicted_series_rnn_block20_w20.csv,20,20,rnn,0.03,0.58,0.72,0.63
6,predicted_series_rnn_block30_w50.csv,30,50,rnn,0.03,0.59,0.73,0.66
7,predicted_series_rnn_block30_w20.csv,30,20,rnn,0.03,0.59,0.79,0.72
8,predicted_series_lstm_block1_w50.csv,1,50,lstm,0.17,0.65,0.62,0.48
9,predicted_series_lstm_block1_w20.csv,1,20,lstm,0.13,0.61,0.54,0.46
10,predicted_series_lstm_block10_w50.csv,10,50,lstm,0.03,0.57,0.64,0.54
11,predicted_series_lstm_block10_w20.csv,10,20,lstm,0.05,0.61,0.68,0.55
12,predicted_series_lstm_block20_w50.csv,20,50,lstm,0.04,0.71,0.88,0.78
13,predicted_series_lstm_block20_w20.csv,20,20,lstm,0.02,0.48,0.58,0.5
14,predicted_series_lstm_block30_w50.csv,30,50,lstm,0.04,0.79,1.15,1.02
15,predicted_series_lstm_block30_w20.csv,30,20,lstm,0.02,0.51,0.69,0.62
