,Block,Window,Model,R2,MAPE,MAE,RMSE,average_rank
13,20,20,lstm,0.02,0.48,0.58,0.5,2.25
9,1,20,lstm,0.13,0.61,0.54,0.46,5.5
10,10,50,lstm,0.03,0.57,0.64,0.54,5.5
15,30,20,lstm,0.02,0.51,0.69,0.62,5.5
3,10,20,rnn,0.03,0.65,0.67,0.55,7.75
5,20,20,rnn,0.03,0.58,0.72,0.63,8.0
8,1,50,lstm,0.17,0.65,0.62,0.48,8.0
1,1,20,rnn,0.16,0.75,0.62,0.49,8.5
11,10,20,lstm,0.05,0.61,0.68,0.55,8.5
6,30,50,rnn,0.03,0.59,0.73,0.66,9.0
2,10,50,rnn,0.04,0.63,0.68,0.57,9.25
4,20,50,rnn,0.03,0.66,0.72,0.63,9.5
7,30,20,rnn,0.03,0.59,0.79,0.72,9.75
0,1,50,rnn,0.19,0.76,0.71,0.53,11.5
12,20,50,lstm,0.04,0.71,0.88,0.78,13.0
14,30,50,lstm,0.04,0.79,1.15,1.02,14.5
