,Files,Block,Window,Model,R2,MAPE,RMSE,MAE
0,predicted_series_rnn_block1_w50.csv,1,50,rnn,0.15,0.15,0.89,0.73
1,predicted_series_rnn_block1_w20.csv,1,20,rnn,0.13,0.15,0.83,0.65
2,predicted_series_rnn_block10_w50.csv,10,50,rnn,0.04,0.04,0.29,0.25
3,predicted_series_rnn_block10_w20.csv,10,20,rnn,0.03,0.05,0.33,0.28
4,predicted_series_rnn_block20_w50.csv,20,50,rnn,0.02,0.03,0.22,0.19
5,predicted_series_rnn_block20_w20.csv,20,20,rnn,0.03,0.03,0.26,0.22
6,predicted_series_rnn_block30_w50.csv,30,50,rnn,0.03,0.03,0.21,0.18
7,predicted_series_rnn_block30_w20.csv,30,20,rnn,0.03,0.03,0.27,0.22
8,predicted_series_lstm_block1_w50.csv,1,50,lstm,0.13,0.12,0.81,0.61
9,predicted_series_lstm_block1_w20.csv,1,20,lstm,0.1,0.11,0.76,0.52
10,predicted_series_lstm_block10_w50.csv,10,50,lstm,0.03,0.03,0.25,0.2
11,predicted_series_lstm_block10_w20.csv,10,20,lstm,0.05,0.04,0.3,0.25
12,predicted_series_lstm_block20_w50.csv,20,50,lstm,0.04,0.03,0.26,0.21
13,predicted_series_lstm_block20_w20.csv,20,20,lstm,0.02,0.02,0.21,0.17
14,predicted_series_lstm_block30_w50.csv,30,50,lstm,0.04,0.03,0.32,0.27
15,predicted_series_lstm_block30_w20.csv,30,20,lstm,0.02,0.02,0.23,0.19
